,Shareholding in CCASS,Shares Percentage,Stock Name,Stock code
378,"                                1,804,441                            ",                                1.16%                            ,"                                CHANG CHUN EURASIA GROUP CO., LTD. (A #600697)                            ",                                90697                            
379,"                                15,390,109                            ",                                2.23%                            ,                                NINGBO JOYSON ELECTRONIC CORP. (A #600699)                            ,                                90699                            
380,"                                24,705,820                            ",                                0.60%                            ,"                                SAN'AN OPTOELECTRONICS CO.,LTD (A #600703)                            ",                                90703                            
381,"                                13,549,148                            ",                                1.01%                            ,"                                WUCHAN ZHONGDA GROUP CO., LTD (A #600704)                            ",                                90704                            
382,"                                19,153,912                            ",                                0.25%                            ,"                                AVIC CAPITAL CO.,LTD. (A #600705)                            ",                                90705                            
383,"                                8,568,974                            ",                                0.87%                            ,"                                BRIGHT REAL ESTATE GROUP CO., LIMITED (A #600708)                            ",                                90708                            
384,"                                8,210,529                            ",                                0.54%                            ,"                                CHENGTUN MINING GROUP CO.,LTD (A #600711)                            ",                                90711                            
385,"                                887,441                            ",                                0.09%                            ,                                JIANGSU PHOENIX PROPERTY INVESTMENT COMPANY LIMITED (A #600716)                            ,                                90716                            
386,"                                1,581,080                            ",                                0.09%                            ,"                                TIANJIN PORT HOLDINGS CO.,LTD. (A #600717)                            ",                                90717                            
387,"                                13,304,999                            ",                                1.07%                            ,                                NEUSOFT CORPORATION (A #600718)                            ,                                90718                            
388,"                                2,726,842                            ",                                0.35%                            ,"                                GANSU QILIANSHAN CEMENT GROUP CO.,LTD. (A #600720)                            ",                                90720                            
389,                                100                            ,                                0.00%                            ,"                                BEIJING CAPITAL RETAILING GROUP CO., LTD. (A #600723)                            ",                                90723                            
390,"                                56,895                            ",                                0.00%                            ,                                NINGBO FUDA COMPANY LIMITED (A #600724)                            ,                                90724                            
391,"                                983,101                            ",                                0.24%                            ,"                                CHONGQING DEPARTMENT STORE CO.,LTD. (A #600729)                            ",                                90729                            
392,"                                619,611                            ",                                0.10%                            ,"                                CHINA HI-TECH GROUP CO.,LTD. (A #600730)                            ",                                90730                            
393,"                                15,383,595                            ",                                1.35%                            ,"                                SUZHOU NEW DISTRICT HI-TECH INDUSTRIAL CO.,LTD (A #600736)                            ",                                90736                            
394,"                                2,215,648                            ",                                0.16%                            ,"                                COFCO TUNHE SUGAR CO.,LTD. (A #600737)                            ",                                90737                            
395,"                                8,089,520                            ",                                0.59%                            ,"                                LIAONING CHENGDA CO.,LTD. (A #600739)                            ",                                90739                            
396,"                                94,977,169                            ",                                3.31%                            ,                                HUAYU AUTOMOTIVE SYSTEMS COMPANY LIMITED (A #600741)                            ,                                90741                            
397,"                                4,444,784                            ",                                1.05%                            ,"                                CHANGCHUN FAWAY AUTOMOBILE COMPONENTS CO., LTD (A #600742)                            ",                                90742                            
398,"                                5,620,768                            ",                                0.23%                            ,"                                HUAYUAN PROPERTY CO.,LTD. (A #600743)                            ",                                90743                            
399,"                                15,200                            ",                                0.00%                            ,"                                DALIAN DAFU ENTERPRISES HOLDINGS CO.,LTD (A #600747)                            ",                                90747                            
400,"                                2,264,913                            ",                                0.16%                            ,"                                SHANGHAI INDUSTRIAL DEVELOPMENT CO.,LTD. (A #600748)                            ",                                90748                            
401,"                                5,188,552                            ",                                1.72%                            ,"                                JIANGZHONG PHARMACEUTICAL CO.,LTD (A #600750)                            ",                                90750                            
402,"                                1,859,139                            ",                                0.41%                            ,"                                SHANGHAI JIN JIANG INTERNATIONAL HOTELS DEVELOPMENT CO.,LTD. (A #600754)                            ",                                90754                            
403,"                                2,801,969                            ",                                0.16%                            ,"                                XIAMEN INTERNATIONAL TRADE GROUP CORP., LTD. (A #600755)                            ",                                90755                            
404,"                                1,647,783                            ",                                0.50%                            ,"                                INSPUR SOFTWARE CO.,LTD. (A #600756)                            ",                                90756                            
405,"                                256,268                            ",                                0.02%                            ,"                                CHANGJIANG PUBLISHING & MEDIA CO.,LTD (A #600757)                            ",                                90757                            
406,"                                106,900                            ",                                0.01%                            ,                                LIAONING HONGYANG ENERGY RESOURCE INVEST CO.LTD. (A #600758)                            ,                                90758                            
407,"                                121,829                            ",                                0.00%                            ,                                GEO-JADE PETROLEUM CORPORATION (A #600759)                            ,                                90759                            
408,"                                15,939,759                            ",                                2.58%                            ,"                                ANHUI HELI CO.,LTD. (A #600761)                            ",                                90761                            
409,"                                106,871                            ",                                0.03%                            ,                                TOPCHOICE MEDICAL INVESTMENT CO.INC (A #600763)                            ,                                90763                            
410,"                                3,918,019                            ",                                0.50%                            ,"                                AVIC HEAVY MACHINERY CO.,LTD. (A #600765)                            ",                                90765                            
411,"                                2,471,265                            ",                                0.19%                            ,"                                JIANGSU ZONGYI CO.,LTD (A #600770)                            ",                                90770                            
412,"                                604,170                            ",                                0.08%                            ,"                                TIBET URBAN DEVELOPMENT AND INVESTMENT CO.,LTD (A #600773)                            ",                                90773                            
413,"                                1,349,983                            ",                                0.20%                            ,                                NANJING PANDA ELECTRONICS COMPANY LIMITED (A #600775)                            ,                                90775                            
414,"                                2,131,713                            ",                                0.22%                            ,"                                EASTERN COMMUNICATIONS CO.,LTD. (A #600776)                            ",                                90776                            
415,"                                54,100                            ",                                0.01%                            ,"                                XINJIANG YOUHAO (GROUP) CO.,LTD (A #600778)                            ",                                90778                            
416,"                                1,222,996                            ",                                0.10%                            ,                                TOP ENERGY COMPANY LTD.SHANXI (A #600780)                            ,                                90780                            
417,"                                1,000,222                            ",                                0.13%                            ,"                                LUXIN VENTURE CAPITAL GROUP CO., LTD. (A #600783)                            ",                                90783                            
418,"                                99,121                            ",                                0.01%                            ,"                                LUYIN INVESTMENT GROUP CO.,LTD. (A #600784)                            ",                                90784                            
419,                                500                            ,                                0.00%                            ,"                                YINCHUAN XINHUA COMMERCIAL (GROUP) CO.,LTD. (A #600785)                            ",                                90785                            
420,"                                4,804,231                            ",                                0.25%                            ,"                                CMST DEVELOPMENT CO.,LTD. (A #600787)                            ",                                90787                            
421,"                                1,170,088                            ",                                0.11%                            ,"                                ZHEJIANG CHINA LIGHT&TEXTILE; INDUSTRIAL CITY GROUP CO.,LTD. (A #600790)                            ",                                90790                            
422,"                                1,810,824                            ",                                0.16%                            ,"                                ZHANGJIAGANG FREETRADE SCIENCE AND TECHNOLOGY CO.,LTD. (A #600794)                            ",                                90794                            
423,"                                36,009,619                            ",                                0.18%                            ,"                                GD POWER DEVELOPMENT CO., LTD (A #600795)                            ",                                90795                            
424,"                                105,300                            ",                                0.01%                            ,"                                INSIGMA TECHNOLOGY CO.,LTD. (A #600797)                            ",                                90797                            
425,"                                1,406,602                            ",                                0.14%                            ,"                                HUAXIN CEMENT CO., LTD. (A #600801)                            ",                                90801                            
426,"                                144,795                            ",                                0.03%                            ,                                FUJIAN CEMENT INC. (A #600802)                            ,                                90802                            
427,"                                200,295                            ",                                0.02%                            ,"                                ENN ECOLOGICAL HOLDINGS CO.,LTD (A #600803)                            ",                                90803                            
428,"                                29,844,525                            ",                                2.12%                            ,"                                DR.PENG TELECOM&MEDIA; GROUP CO.,LTD. (A #600804)                            ",                                90804                            
429,"                                554,190                            ",                                0.06%                            ,                                JIANGSU YUEDA INVESTMENT CO.LTD. (A #600805)                            ,                                90805                            
430,"                                1,725,900                            ",                                0.44%                            ,                                SHENJI GROUP KUNMING MACHINE TOOL COMPANY LIMITED (A #600806)                            ,                                90806                            
431,"                                1,358,348                            ",                                0.17%                            ,"                                SHANDONG TYAN HOME CO.,LTD (A #600807)                            ",                                90807                            
432,"                                12,829,547                            ",                                0.21%                            ,                                MAANSHAN IRON & STEEL COMPANY LIMITED (A #600808)                            ,                                90808                            
433,"                                1,162,009                            ",                                0.13%                            ,"                                SHANXI XINGHUACUN FEN WINE FACTORY CO.,LTD (A #600809)                            ",                                90809                            
434,"                                2,538,451                            ",                                0.10%                            ,                                ORIENT GROUP INCORPORATION (A #600811)                            ,                                90811                            
435,"                                1,452,750                            ",                                0.46%                            ,"                                HANGZHOU JIEBAI GROUP CO., LIMITED. (A #600814)                            ",                                90814                            
436,"                                14,125,407                            ",                                0.56%                            ,"                                ANXIN TRUST CO.,LTD (A #600816)                            ",                                90816                            
437,"                                454,755                            ",                                0.19%                            ,"                                ZHONGLU CO,.LTD. (A #600818)                            ",                                90818                            
438,"                                9,060,274                            ",                                0.28%                            ,"                                SHANGHAI TUNNEL ENGINEERING CO.,LTD. (A #600820)                            ",                                90820                            
439,"                                7,046,715                            ",                                0.18%                            ,"                                SHANGHAI SHIMAO CO.,LTD (A #600823)                            ",                                90823                            
440,"                                5,163,109                            ",                                0.48%                            ,"                                SHANGHAI YIMIN COMMERCIAL GROUP CO., LTD. (A #600824)                            ",                                90824                            
441,"                                2,073,356                            ",                                0.19%                            ,"                                SHANGHAI XINHUA MEDIA CO., LTD (A #600825)                            ",                                90825                            
442,"                                436,698                            ",                                0.10%                            ,                                SHANGHAI LANSHENG CORPORATION (A #600826)                            ,                                90826                            
443,"                                4,483,793                            ",                                0.29%                            ,"                                SHANGHAI BAILIAN GROUP CO., LTD. (A #600827)                            ",                                90827                            
444,"                                2,036,588                            ",                                0.35%                            ,"                                MAOYE COMMERCIAL CO., LTD. (A #600828)                            ",                                90828                            
445,"                                239,410                            ",                                0.04%                            ,                                HPGC RENMINTONGTAI PHARMACEUTICAL CORPORATION (A #600829)                            ,                                90829                            
446,"                                1,665,659                            ",                                0.36%                            ,"                                SUNNY LOAN TOP CO.,LTD (A #600830)                            ",                                90830                            
447,"                                745,864                            ",                                0.13%                            ,                                SHAANXI BROADCAST & TV NETWORK INTERMEDIARY (GROUP) CO.LTD (A #600831)                            ,                                90831                            
448,"                                28,400                            ",                                0.01%                            ,"                                SHANGHAI NO.1 PHARMACY CO.,LTD. (A #600833)                            ",                                90833                            
449,"                                2,712,534                            ",                                0.33%                            ,"                                SHANGHAI MECHANICAL & ELECTRICAL INDUSTRY CO., LTD. (A #600835)                            ",                                90835                            
450,"                                57,979,002                            ",                                0.71%                            ,                                HAITONG SECURITIES COMPANY LIMITED (A #600837)                            ,                                90837                            
451,"                                230,100                            ",                                0.05%                            ,"                                SHANGHAI JOIN BUY CO.,LTD. (A #600838)                            ",                                90838                            
452,"                                14,530,626                            ",                                0.31%                            ,"                                SICHUAN CHANGHONG ELECTRIC CO.,LTD. (A #600839)                            ",                                90839                            
453,"                                459,499                            ",                                0.08%                            ,"                                SHANGHAI BAOSIGHT SOFTWARE CO., LTD. (A #600845)                            ",                                90845                            
454,"                                2,648,210                            ",                                0.42%                            ,"                                SHANGHAI TONGJI SCIENCE & TECHNOLOGY INDUSTRIAL CO.,LTD (A #600846)                            ",                                90846                            
455,"                                868,710                            ",                                0.20%                            ,"                                SHANGHAI EAST-CHINA COMPUTER CO.,LTD (A #600850)                            ",                                90850                            
456,"                                2,256,911                            ",                                0.29%                            ,                                CHANGCHUN SINOENERGY CORPORATION (A #600856)                            ,                                90856                            
457,"                                96,632                            ",                                0.01%                            ,"                                INZONE GROUP CO.,LTD (A #600858)                            ",                                90858                            
458,"                                3,130,986                            ",                                0.52%                            ,"                                WANGFUJING GROUP CO., LTD. (A #600859)                            ",                                90859                            
459,"                                591,882                            ",                                0.18%                            ,                                BEIJING JINGCHENG MACHINERY ELECTRIC COMPANY LIMITED (A #600860)                            ,                                90860                            
460,"                                564,271                            ",                                0.07%                            ,"                                AVIC AVIATION HIGH-TECHNOLOGY CO., LTD. (A #600862)                            ",                                90862                            
461,"                                7,462,743                            ",                                0.12%                            ,                                INNER MONGOLIA MENGDIAN HUANENG THERMAL POWER CORPORATION LI (A #600863)                            ,                                90863                            
462,"                                949,774                            ",                                0.17%                            ,"                                HARBIN HATOU INVESTMENT CO.,LTD (A #600864)                            ",                                90864                            
463,"                                45,907,998                            ",                                2.80%                            ,"                                TONGHUA DONGBAO PHARMACEUTICAL CO.,LTD. (A #600867)                            ",                                90867                            
464,"                                1,403,582                            ",                                0.06%                            ,"                                FAR EAST SMARTER ENERGY CO.,LTD (A #600869)                            ",                                90869                            
465,"                                3,791,043                            ",                                0.13%                            ,                                SINOPEC OILFIELD SERVICE CORPORATION (A #600871)                            ,                                90871                            
466,"                                16,711,986                            ",                                2.09%                            ,"                                JONJEE HI-TECH INDUSTRIAL & COMMERCIAL HOLDING CO.,LTD (A #600872)                            ",                                90872                            
467,"                                11,868,091                            ",                                0.38%                            ,"                                MEIHUA HOLDINGS GROUP CO.,LTD (A #600873)                            ",                                90873                            
468,"                                1,343,933                            ",                                0.12%                            ,                                TIANJIN CAPITAL ENVIRONMENTAL PROTECTION GROUP CO LTD (A #600874)                            ,                                90874                            
469,"                                4,621,655                            ",                                0.23%                            ,                                DONGFANG ELECTRIC CORPORATION LIMITED (A #600875)                            ,                                90875                            
470,"                                676,427                            ",                                0.25%                            ,                                LUOYANG GLASS COMPANY LIMITED (A #600876)                            ,                                90876                            
471,"                                2,847,748                            ",                                0.13%                            ,"                                CHINA AEROSPACE TIMES ELECTRONICS CO., LTD. (A #600879)                            ",                                90879                            
472,"                                1,124,525                            ",                                0.15%                            ,"                                CHENGDU B-RAY MEDIA CO.,LTD (A #600880)                            ",                                90880                            
473,"                                3,770,673                            ",                                0.19%                            ,"                                JILIN YATAI (GROUP) CO., LTD. (A #600881)                            ",                                90881                            
474,"                                2,100                            ",                                0.00%                            ,"                                SHANGHAI GROUND FOOD TECH CO., LTD. (A #600882)                            ",                                90882                            
475,"                                4,346,117                            ",                                0.52%                            ,"                                NINGBO SHANSHAN CO.,LTD. (A #600884)                            ",                                90884                            
476,"                                5,328,230                            ",                                1.00%                            ,"                                HONGFA TECHNOLOGY CO., LTD. (A #600885)                            ",                                90885                            
477,"                                27,425,609                            ",                                0.40%                            ,"                                SDIC POWER HOLDINGS CO.,LTD. (A #600886)                            ",                                90886                            
478,"                                519,664,547                            ",                                8.61%                            ,"                                INNER MONGOLIA YILI INDUSTRIAL GROUP CO.,LTD (A #600887)                            ",                                90887                            
479,"                                2,354,433                            ",                                0.28%                            ,"                                XINJIANG JOINWORLD CO.,LTD. (A #600888)                            ",                                90888                            
480,"                                17,422                            ",                                0.00%                            ,"                                HARBIN CHURIN GROUP JOINTSTOCK CO.,LTD. (A #600891)                            ",                                90891                            
481,"                                10,421,156                            ",                                0.53%                            ,"                                AECC AVIATION POWER CO,LTD (A #600893)                            ",                                90893                            
482,"                                1,231,390                            ",                                0.14%                            ,"                                GUANGZHOU GUANGRI STOCK CO.,LTD. (A #600894)                            ",                                90894                            
483,"                                2,655,573                            ",                                0.17%                            ,"                                SHANGHAI ZHANGJIANG HI-TECH PARK DEVELOPMENT CO.,LTD (A #600895)                            ",                                90895                            
484,"                                4,184,137                            ",                                1.40%                            ,"                                XIAMEN INTERNATIONAL AIRPORT CO.,LTD (A #600897)                            ",                                90897                            
485,"                                749,935,855                            ",                                6.51%                            ,"                                CHINA YANGTZE POWER CO.,LTD. (A #600900)                            ",                                90900                            
486,"                                674,479                            ",                                0.08%                            ,"                                HUAAN SECURITIES CO., LTD. (A #600909)                            ",                                90909                            
487,"                                352,604                            ",                                0.22%                            ,                                CHONGQING GAS GROUP CORPORATION LTD. (A #600917)                            ,                                90917                            
488,"                                716,100                            ",                                0.06%                            ,"                                BANK OF JIANGSU CO., LTD. (A #600919)                            ",                                90919                            
489,"                                547,840                            ",                                0.14%                            ,"                                BANK OF HANGZHOU CO.,LTD. (A #600926)                            ",                                90926                            
490,"                                12,370,591                            ",                                0.39%                            ,                                ORIENT SECURITIES COMPANY LIMITED (A #600958)                            ,                                90958                            
491,"                                3,409,341                            ",                                0.24%                            ,                                JIANGSU BROADCASTING CABLE INFORMATION NETWORK CORPORATION LIMITED (A #600959)                            ,                                90959                            
492,"                                504,017                            ",                                0.04%                            ,"                                YUEYANG FOREST & PAPER CO., LTD. (A #600963)                            ",                                90963                            
493,"                                823,230                            ",                                0.15%                            ,"                                FORTUNE NG FUNG FOOD (HEBEI) CO., LTD (A #600965)                            ",                                90965                            
494,"                                1,877,547                            ",                                0.22%                            ,"                                INNER MONGOLIA FIRST MACHINERY GROUP CO.,LTD. (A #600967)                            ",                                90967                            
495,"                                2,172,295                            ",                                0.12%                            ,"                                SINOMA INTERNATIONAL ENGINEERING CO.,LTD. (A #600970)                            ",                                90970                            
496,"                                78,103                            ",                                0.00%                            ,"                                ANHUI HENGYUAN COAL INDUSTRY AND ELECTRICITY POWER CO., LTD. (A #600971)                            ",                                90971                            
497,"                                2,724,468                            ",                                0.30%                            ,"                                BAOSHENG SCIENCE AND TECHNOLOGY INNOVATION CO., LTD. (A #600973)                            ",                                90973                            
498,"                                169,583                            ",                                0.03%                            ,"                                HUNAN NEW WELLFULL CO.,LTD. (A #600975)                            ",                                90975                            
499,"                                71,900                            ",                                0.04%                            ,"                                JIANMIN PHARMACEUTICAL GROUPS CORP.,LTD. (A #600976)                            ",                                90976                            
500,"                                949,204                            ",                                0.20%                            ,"                                CHINA FILM CO., LTD. (A #600977)                            ",                                90977                            
501,"                                2,680,395                            ",                                0.18%                            ,"                                YIHUA LIFESTYLE TECHNOLOGY CO., LTD (A #600978)                            ",                                90978                            
502,"                                34,809                            ",                                0.00%                            ,"                                SICHUAN GUANGAN AAA PUBLIC CO.,LTD . (A #600979)                            ",                                90979                            
503,"                                837,375                            ",                                0.34%                            ,                                JIANGSU HIGH HOPE INTERNATIONAL CORPORATION (A #600981)                            ,                                90981                            
504,"                                7,600                            ",                                0.00%                            ,"                                WHIRLPOOL CHINA CO.,LTD (A #600983)                            ",                                90983                            
505,                                89                            ,                                0.00%                            ,"                                ANHUI LEIMINGKEHUA CO.,LTD (A #600985)                            ",                                90985                            
506,"                                3,089,151                            ",                                0.68%                            ,"                                KEDA GROUP CO., LTD. (A #600986)                            ",                                90986                            
507,"                                3,396,072                            ",                                0.53%                            ,"                                ZHEJIANG HANGMIN CO., LTD. (A #600987)                            ",                                90987                            
508,"                                535,839                            ",                                0.08%                            ,"                                CHIFENG JILONG GOLD MINING CO.,LTD. (A #600988)                            ",                                90988                            
509,"                                163,066                            ",                                0.11%                            ,"                                ANHUI SUN CREATE ELECTRONICS CO.,LTD (A #600990)                            ",                                90990                            
510,"                                1,728,475                            ",                                0.40%                            ,"                                MAYINGLONG PHARMACEUTICAL GROUP STOCK CO.,LTD. (A #600993)                            ",                                90993                            
511,"                                195,362                            ",                                0.04%                            ,"                                YUNNAN WENSHAN ELECTRIC POWER CO.,LTD (A #600995)                            ",                                90995                            
512,"                                162,108                            ",                                0.01%                            ,                                KAILUAN ENERGY CHEMICAL CORPORATION LIMITED (A #600997)                            ,                                90997                            
513,"                                4,019,386                            ",                                0.24%                            ,                                JOINTOWN PHARMACEUTICAL GROUP COMPANY LIMITED (A #600998)                            ,                                90998                            
514,"                                15,894,847                            ",                                0.32%                            ,"                                CHINA MERCHANTS SECURITIES CO.,LTD. (A #600999)                            ",                                90999                            
515,"                                6,578,061                            ",                                0.16%                            ,"                                TANGSHAN PORT GROUP CO.,LTD. (A #601000)                            ",                                91000                            
516,"                                1,496,705                            ",                                0.08%                            ,"                                DATONG COAL INDUSTRY CO., LTD. (A #601001)                            ",                                91001                            
517,"                                2,019,995                            ",                                0.25%                            ,"                                GEM-YEAR INDUSTRIAL CO.,LTD. (A #601002)                            ",                                91002                            
518,"                                1,995,850                            ",                                0.05%                            ,                                CHONGQING IRON & STEEL COMPANY LIMITED (A #601005)                            ,                                91005                            
519,"                                418,527,179                            ",                                2.81%                            ,"                                DAQIN RAILWAY CO., LTD. (A #601006)                            ",                                91006                            
